Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: Anas acuta cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X2, mRNA",Anas acuta,1144,1209,83%,0.0,77.33,5342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_068681264.1?report=genbank&log$=nucltop&blast_rank=11&RID=YYR9991V014"",""XM_068681264.1"")"
"Podarcis melisellensis cyclic nucleotide-gated channel alpha-3 (CNGA3), transcript variant 1, mRNA",Podarcis melisellensis,1142,1142,72%,0.0,76.88,4827,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_081907577.1?report=genbank&log$=nucltop&blast_rank=12&RID=YYR9991V014"",""XM_081907577.1"")"
"Podarcis erhardii cyclic nucleotide-gated channel alpha-3 (CNGA3), transcript variant 2, mRNA",Podarcis erhardii,1141,1141,72%,0.0,76.83,3005,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_081858977.1?report=genbank&log$=nucltop&blast_rank=13&RID=YYR9991V014"",""XM_081858977.1"")"
"PREDICTED: Cyrtonyx montezumae cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X1, mRNA",Cyrtonyx montezumae,1140,1198,83%,0.0,77.20,2628,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_065741168.1?report=genbank&log$=nucltop&blast_rank=14&RID=YYR9991V014"",""XM_065741168.1"")"
"PREDICTED: Cyrtonyx montezumae cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X2, mRNA",Cyrtonyx montezumae,1140,1198,83%,0.0,77.20,2574,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_065741169.1?report=genbank&log$=nucltop&blast_rank=15&RID=YYR9991V014"",""XM_065741169.1"")"
"PREDICTED: Pelecanus crispus cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X3, mRNA",Pelecanus crispus,1138,1138,85%,0.0,74.49,2249,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_075718620.1?report=genbank&log$=nucltop&blast_rank=16&RID=YYR9991V014"",""XM_075718620.1"")"
"Podarcis melisellensis cyclic nucleotide-gated channel alpha-3 (CNGA3), transcript variant 2, mRNA",Podarcis melisellensis,1136,1136,72%,0.0,76.76,4638,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_081907578.1?report=genbank&log$=nucltop&blast_rank=17&RID=YYR9991V014"",""XM_081907578.1"")"
"Podarcis cretensis cyclic nucleotide-gated channel alpha-3 (CNGA3), transcript variant 1, mRNA",Podarcis cretensis,1133,1133,72%,0.0,76.74,4427,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_079972662.1?report=genbank&log$=nucltop&blast_rank=18&RID=YYR9991V014"",""XM_079972662.1"")"
"PREDICTED: Numida meleagris cyclic nucleotide gated channel alpha 3 (CNGA3), transcript variant X2, mRNA",Numida meleagris,1131,1199,83%,0.0,77.06,4187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_021412456.1?report=genbank&log$=nucltop&blast_rank=19&RID=YYR9991V014"",""XM_021412456.1"")"
"PREDICTED: Numida meleagris cyclic nucleotide gated channel alpha 3 (CNGA3), transcript variant X3, mRNA",Numida meleagris,1131,1199,83%,0.0,77.06,4264,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_021412464.1?report=genbank&log$=nucltop&blast_rank=20&RID=YYR9991V014"",""XM_021412464.1"")"
"PREDICTED: Numida meleagris cyclic nucleotide gated channel alpha 3 (CNGA3), transcript variant X1, mRNA",Numida meleagris,1131,1199,83%,0.0,77.06,4078,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_021412447.1?report=genbank&log$=nucltop&blast_rank=21&RID=YYR9991V014"",""XM_021412447.1"")"
"Podarcis cretensis cyclic nucleotide-gated channel alpha-3 (CNGA3), transcript variant 2, mRNA",Podarcis cretensis,1127,1127,72%,0.0,76.63,4238,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_079972663.1?report=genbank&log$=nucltop&blast_rank=22&RID=YYR9991V014"",""XM_079972663.1"")"
"PREDICTED: Eurypyga helias cyclic nucleotide gated channel alpha 3 (CNGA3), transcript variant X1, mRNA",Eurypyga helias,1125,1201,91%,0.0,76.47,2575,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_010151495.1?report=genbank&log$=nucltop&blast_rank=23&RID=YYR9991V014"",""XM_010151495.1"")"
"PREDICTED: Eurypyga helias cyclic nucleotide gated channel alpha 3 (CNGA3), transcript variant X2, mRNA",Eurypyga helias,1125,1194,84%,0.0,76.47,2022,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_010151496.1?report=genbank&log$=nucltop&blast_rank=24&RID=YYR9991V014"",""XM_010151496.1"")"
"PREDICTED: Egretta garzetta cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X2, mRNA",Egretta garzetta,1122,1122,85%,0.0,74.28,2145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_035893199.1?report=genbank&log$=nucltop&blast_rank=25&RID=YYR9991V014"",""XM_035893199.1"")"
"Podarcis pityusensis cyclic nucleotide-gated channel alpha-3 (CNGA3), transcript variant 1, mRNA",Podarcis pityusensis,1120,1120,72%,0.0,76.54,4824,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_081003820.1?report=genbank&log$=nucltop&blast_rank=26&RID=YYR9991V014"",""XM_081003820.1"")"
"PREDICTED: Lacerta agilis cyclic nucleotide gated channel subunit alpha 3 (CNGA3), mRNA",Lacerta agilis,1114,1114,72%,0.0,76.56,2848,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033147538.1?report=genbank&log$=nucltop&blast_rank=27&RID=YYR9991V014"",""XM_033147538.1"")"
"PREDICTED: Pelecanus crispus cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X1, mRNA",Pelecanus crispus,1113,1167,79%,0.0,76.09,2372,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_009486998.2?report=genbank&log$=nucltop&blast_rank=28&RID=YYR9991V014"",""XM_009486998.2"")"
"PREDICTED: Pelecanus crispus cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X2, mRNA",Pelecanus crispus,1113,1167,79%,0.0,76.09,2318,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_075718610.1?report=genbank&log$=nucltop&blast_rank=29&RID=YYR9991V014"",""XM_075718610.1"")"
"Podarcis pityusensis cyclic nucleotide-gated channel alpha-3 (CNGA3), transcript variant 2, mRNA",Podarcis pityusensis,1113,1113,72%,0.0,76.43,4635,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_081003821.1?report=genbank&log$=nucltop&blast_rank=30&RID=YYR9991V014"",""XM_081003821.1"")"
"PREDICTED: Eretmochelys imbricata cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X2, mRNA",Eretmochelys imbricata,1113,1224,90%,0.0,75.85,2025,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_077807118.1?report=genbank&log$=nucltop&blast_rank=31&RID=YYR9991V014"",""XM_077807118.1"")"
"PREDICTED: Anguilla rostrata cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC135240358), transcript variant X1, mRNA",Anguilla rostrata,1113,1113,73%,0.0,76.63,3686,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_064309734.1?report=genbank&log$=nucltop&blast_rank=32&RID=YYR9991V014"",""XM_064309734.1"")"
"PREDICTED: Eretmochelys imbricata cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X1, mRNA",Eretmochelys imbricata,1113,1261,92%,0.0,75.88,2187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_077807117.1?report=genbank&log$=nucltop&blast_rank=33&RID=YYR9991V014"",""XM_077807117.1"")"
"PREDICTED: Anguilla rostrata cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC135240358), transcript variant X3, mRNA",Anguilla rostrata,1113,1113,73%,0.0,76.63,3439,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_064309736.1?report=genbank&log$=nucltop&blast_rank=34&RID=YYR9991V014"",""XM_064309736.1"")"
"PREDICTED: Anguilla rostrata cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC135240358), transcript variant X2, mRNA",Anguilla rostrata,1113,1113,73%,0.0,76.63,3673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_064309735.1?report=genbank&log$=nucltop&blast_rank=35&RID=YYR9991V014"",""XM_064309735.1"")"
"PREDICTED: Pelecanus crispus cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X4, mRNA",Pelecanus crispus,1112,1165,78%,0.0,76.27,2186,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_009486999.2?report=genbank&log$=nucltop&blast_rank=36&RID=YYR9991V014"",""XM_009486999.2"")"
"PREDICTED: Excalfactoria chinensis cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X2, mRNA",Excalfactoria chinensis,1111,1111,72%,0.0,76.51,3740,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_072342096.1?report=genbank&log$=nucltop&blast_rank=37&RID=YYR9991V014"",""XM_072342096.1"")"
"Podarcis bocagei cyclic nucleotide-gated channel alpha-3 (CNGA3), transcript variant 1, mRNA",Podarcis bocagei,1111,1111,72%,0.0,76.41,4444,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_081197574.1?report=genbank&log$=nucltop&blast_rank=38&RID=YYR9991V014"",""XM_081197574.1"")"
"PREDICTED: Excalfactoria chinensis cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X1, mRNA",Excalfactoria chinensis,1111,1111,72%,0.0,76.51,4067,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_072342087.1?report=genbank&log$=nucltop&blast_rank=39&RID=YYR9991V014"",""XM_072342087.1"")"
"PREDICTED: Podarcis raffonei cyclic nucleotide gated channel subunit alpha 3 (CNGA3), mRNA",Podarcis raffonei,1109,1109,72%,0.0,76.44,4076,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_053384126.1?report=genbank&log$=nucltop&blast_rank=40&RID=YYR9991V014"",""XM_053384126.1"")"
"PREDICTED: Natator depressus cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X4, mRNA",Natator depressus,1108,1108,75%,0.0,75.78,3653,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_074965416.1?report=genbank&log$=nucltop&blast_rank=41&RID=YYR9991V014"",""XM_074965416.1"")"
"PREDICTED: Chelonia mydas cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X1, mRNA",Chelonia mydas,1108,1210,90%,0.0,75.78,4519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_037898670.2?report=genbank&log$=nucltop&blast_rank=42&RID=YYR9991V014"",""XM_037898670.2"")"
"PREDICTED: Natator depressus cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X3, mRNA",Natator depressus,1108,1108,75%,0.0,75.82,3761,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_074965406.1?report=genbank&log$=nucltop&blast_rank=43&RID=YYR9991V014"",""XM_074965406.1"")"
"PREDICTED: Natator depressus cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X2, mRNA",Natator depressus,1108,1234,92%,0.0,75.82,3827,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_074965397.1?report=genbank&log$=nucltop&blast_rank=44&RID=YYR9991V014"",""XM_074965397.1"")"
"PREDICTED: Chelonia mydas cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X2, mRNA",Chelonia mydas,1108,1243,92%,0.0,75.82,4691,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_037898674.2?report=genbank&log$=nucltop&blast_rank=45&RID=YYR9991V014"",""XM_037898674.2"")"
"PREDICTED: Natator depressus cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X1, mRNA",Natator depressus,1108,1234,92%,0.0,75.82,3817,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_074965391.1?report=genbank&log$=nucltop&blast_rank=46&RID=YYR9991V014"",""XM_074965391.1"")"
"PREDICTED: Lepidochelys kempii cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X3, mRNA",Lepidochelys kempii,1105,1105,92%,0.0,72.50,4697,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_073352974.2?report=genbank&log$=nucltop&blast_rank=47&RID=YYR9991V014"",""XM_073352974.2"")"
"PREDICTED: Coturnix japonica cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X2, mRNA",Coturnix japonica,1105,1105,72%,0.0,76.36,8392,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_015851017.2?report=genbank&log$=nucltop&blast_rank=48&RID=YYR9991V014"",""XM_015851017.2"")"
"Podarcis bocagei cyclic nucleotide-gated channel alpha-3 (CNGA3), transcript variant 2, mRNA",Podarcis bocagei,1104,1104,72%,0.0,76.30,4255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_081197575.1?report=genbank&log$=nucltop&blast_rank=49&RID=YYR9991V014"",""XM_081197575.1"")"
"PREDICTED: Coturnix japonica cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X1, mRNA",Coturnix japonica,1104,1104,71%,0.0,76.57,8217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_032441582.1?report=genbank&log$=nucltop&blast_rank=50&RID=YYR9991V014"",""XM_032441582.1"")"
"PREDICTED: Podarcis muralis cyclic nucleotide gated channel subunit alpha 3 (CNGA3), mRNA",Podarcis muralis,1104,1104,72%,0.0,76.30,2547,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_077927572.1?report=genbank&log$=nucltop&blast_rank=51&RID=YYR9991V014"",""XM_077927572.1"")"
"PREDICTED: Calypte anna cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X2, mRNA",Calypte anna,1104,1104,73%,0.0,76.06,2019,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_030461279.1?report=genbank&log$=nucltop&blast_rank=52&RID=YYR9991V014"",""XM_030461279.1"")"
"PREDICTED: Calypte anna cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X1, mRNA",Calypte anna,1104,1104,73%,0.0,76.06,2602,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_008498128.2?report=genbank&log$=nucltop&blast_rank=53&RID=YYR9991V014"",""XM_008498128.2"")"
"PREDICTED: Merops nubicus cyclic nucleotide gated channel alpha 3 (CNGA3), transcript variant X2, mRNA",Merops nubicus,1104,1104,85%,0.0,74.12,2082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_008949512.1?report=genbank&log$=nucltop&blast_rank=54&RID=YYR9991V014"",""XM_008949512.1"")"
"PREDICTED: Pelodiscus sinensis cyclic nucleotide gated channel subunit alpha 3 (CNGA3), mRNA",Pelodiscus sinensis,1104,1200,92%,0.0,75.75,2727,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006137386.4?report=genbank&log$=nucltop&blast_rank=55&RID=YYR9991V014"",""XM_006137386.4"")"
"PREDICTED: Lepidochelys kempii cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X2, mRNA",Lepidochelys kempii,1104,1247,92%,0.0,75.75,4401,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_073352963.2?report=genbank&log$=nucltop&blast_rank=56&RID=YYR9991V014"",""XM_073352963.2"")"
"PREDICTED: Lepidochelys kempii cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X1, mRNA",Lepidochelys kempii,1104,1247,92%,0.0,75.75,4751,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_073352953.2?report=genbank&log$=nucltop&blast_rank=57&RID=YYR9991V014"",""XM_073352953.2"")"
"PREDICTED: Lepidochelys kempii cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X4, mRNA",Lepidochelys kempii,1104,1235,91%,0.0,75.75,4484,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_073352983.2?report=genbank&log$=nucltop&blast_rank=58&RID=YYR9991V014"",""XM_073352983.2"")"
"PREDICTED: Lepidochelys kempii cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X5, mRNA",Lepidochelys kempii,1104,1210,90%,0.0,75.72,4588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_073352992.2?report=genbank&log$=nucltop&blast_rank=59&RID=YYR9991V014"",""XM_073352992.2"")"
"PREDICTED: Caloenas nicobarica cyclic nucleotide gated channel subunit alpha 3 (CNGA3), mRNA",Caloenas nicobarica,1103,1163,84%,0.0,76.53,2154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_065654759.1?report=genbank&log$=nucltop&blast_rank=60&RID=YYR9991V014"",""XM_065654759.1"")"
"PREDICTED: Chelonoidis abingdonii cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X2, mRNA",Chelonoidis abingdonii,1101,1101,75%,0.0,75.72,2025,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_032805555.2?report=genbank&log$=nucltop&blast_rank=61&RID=YYR9991V014"",""XM_032805555.2"")"
"PREDICTED: Chelonoidis abingdonii cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X3, mRNA",Chelonoidis abingdonii,1101,1101,75%,0.0,75.65,2034,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_032805556.2?report=genbank&log$=nucltop&blast_rank=62&RID=YYR9991V014"",""XM_032805556.2"")"
"PREDICTED: Pristiophorus japonicus cyclic nucleotide gated channel subunit alpha 3a (cnga3a), mRNA",Pristiophorus japonicus,1100,1100,74%,0.0,75.92,2016,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_070891611.1?report=genbank&log$=nucltop&blast_rank=63&RID=YYR9991V014"",""XM_070891611.1"")"
"PREDICTED: Caretta caretta cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X2, mRNA",Caretta caretta,1099,1243,92%,0.0,75.69,2939,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_048858694.2?report=genbank&log$=nucltop&blast_rank=64&RID=YYR9991V014"",""XM_048858694.2"")"
"PREDICTED: Caretta caretta cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X1, mRNA",Caretta caretta,1099,1243,92%,0.0,75.69,3288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_048858686.2?report=genbank&log$=nucltop&blast_rank=65&RID=YYR9991V014"",""XM_048858686.2"")"
"PREDICTED: Caretta caretta cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X6, mRNA",Caretta caretta,1099,1099,75%,0.0,75.66,3126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_048858718.2?report=genbank&log$=nucltop&blast_rank=66&RID=YYR9991V014"",""XM_048858718.2"")"
"PREDICTED: Caretta caretta cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X5, mRNA",Caretta caretta,1099,1099,75%,0.0,75.69,3235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_048858708.2?report=genbank&log$=nucltop&blast_rank=67&RID=YYR9991V014"",""XM_048858708.2"")"
"PREDICTED: Dermochelys coriacea cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X2, mRNA",Dermochelys coriacea,1099,1227,92%,0.0,75.69,4235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_038414684.2?report=genbank&log$=nucltop&blast_rank=68&RID=YYR9991V014"",""XM_038414684.2"")"
"Vanellus vanellus cyclic nucleotide-gated channel alpha-3 (CNGA3), transcript variant 2, partial mRNA",Vanellus vanellus,1099,1154,86%,0.0,75.99,2019,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_082498716.1?report=genbank&log$=nucltop&blast_rank=69&RID=YYR9991V014"",""XM_082498716.1"")"
"PREDICTED: Dermochelys coriacea cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X1, mRNA",Dermochelys coriacea,1099,1191,90%,0.0,75.66,4088,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_038414678.2?report=genbank&log$=nucltop&blast_rank=70&RID=YYR9991V014"",""XM_038414678.2"")"
"Vanellus vanellus cyclic nucleotide-gated channel alpha-3 (CNGA3), transcript variant 1, partial mRNA",Vanellus vanellus,1099,1154,86%,0.0,75.99,2193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_082498715.1?report=genbank&log$=nucltop&blast_rank=71&RID=YYR9991V014"",""XM_082498715.1"")"
"PREDICTED: Caretta caretta cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X3, mRNA",Caretta caretta,1099,1243,92%,0.0,75.69,2782,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_048858699.2?report=genbank&log$=nucltop&blast_rank=72&RID=YYR9991V014"",""XM_048858699.2"")"
"Streptopelia decaocto cyclic nucleotide-gated channel alpha-3 (CNGA3), transcript variant 1, partial mRNA",Streptopelia decaocto,1099,1164,84%,0.0,76.38,2623,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_082056483.1?report=genbank&log$=nucltop&blast_rank=73&RID=YYR9991V014"",""XM_082056483.1"")"
"PREDICTED: Caretta caretta cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X4, mRNA",Caretta caretta,1099,1243,92%,0.0,75.69,2764,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_075130759.1?report=genbank&log$=nucltop&blast_rank=74&RID=YYR9991V014"",""XM_075130759.1"")"
"PREDICTED: Chelonoidis abingdonii cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X1, mRNA",Chelonoidis abingdonii,1098,1219,92%,0.0,75.62,2187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_032805554.2?report=genbank&log$=nucltop&blast_rank=75&RID=YYR9991V014"",""XM_032805554.2"")"
"Streptopelia decaocto cyclic nucleotide-gated channel alpha-3 (CNGA3), transcript variant 2, partial mRNA",Streptopelia decaocto,1097,1163,83%,0.0,76.57,2449,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_082056484.1?report=genbank&log$=nucltop&blast_rank=76&RID=YYR9991V014"",""XM_082056484.1"")"
"PREDICTED: Trachemys scripta elegans cyclic nucleotide gated channel subunit alpha 3 (CNGA3), partial mRNA",Trachemys scripta elegans,1096,1096,75%,0.0,75.66,2425,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_034759208.1?report=genbank&log$=nucltop&blast_rank=77&RID=YYR9991V014"",""XM_034759208.1"")"
"PREDICTED: Chrysemys picta bellii cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X1, mRNA",Chrysemys picta bellii,1096,1096,75%,0.0,75.66,6063,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_065580832.1?report=genbank&log$=nucltop&blast_rank=78&RID=YYR9991V014"",""XM_065580832.1"")"
