Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"PREDICTED: Brienomyrus brachyistius cyclic nucleotide gated channel subunit alpha 3a (cnga3a), transcript variant X1, mRNA",Brienomyrus brachyistius,1053,1053,73%,0.0,75.95,3889,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_048999266.1?report=genbank&log$=nucltop&blast_rank=17&RID=YYRUNNRM014"",""XM_048999266.1"")"
"PREDICTED: Osmerus eperlanus cyclic nucleotide gated channel subunit alpha 3a (cnga3a), transcript variant X1, mRNA",Osmerus eperlanus,1051,1051,71%,0.0,76.26,3415,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_062450756.1?report=genbank&log$=nucltop&blast_rank=18&RID=YYRUNNRM014"",""XM_062450756.1"")"
"PREDICTED: Osmerus eperlanus cyclic nucleotide gated channel subunit alpha 3a (cnga3a), transcript variant X2, mRNA",Osmerus eperlanus,1051,1051,71%,0.0,76.26,3370,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_062450757.1?report=genbank&log$=nucltop&blast_rank=19&RID=YYRUNNRM014"",""XM_062450757.1"")"
"Pollachius pollachius cyclic nucleotide-gated channel cone photoreceptor subunit alpha (cnga3a), partial mRNA",Pollachius pollachius,1049,1102,75%,0.0,75.79,2191,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_079740606.1?report=genbank&log$=nucltop&blast_rank=20&RID=YYRUNNRM014"",""XM_079740606.1"")"
"PREDICTED: Anguilla rostrata cyclic nucleotide gated channel subunit alpha 3a (cnga3a), mRNA",Anguilla rostrata,1042,1042,66%,0.0,76.98,3380,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_064326977.1?report=genbank&log$=nucltop&blast_rank=21&RID=YYRUNNRM014"",""XM_064326977.1"")"
"PREDICTED: Megalops cyprinoides cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC118786082), transcript variant X2, mRNA",Megalops cyprinoides,1040,1040,68%,0.0,76.38,2202,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_036541121.1?report=genbank&log$=nucltop&blast_rank=22&RID=YYRUNNRM014"",""XM_036541121.1"")"
"PREDICTED: Megalops cyprinoides cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC118786082), transcript variant X1, mRNA",Megalops cyprinoides,1040,1040,68%,0.0,76.38,2247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_036541120.1?report=genbank&log$=nucltop&blast_rank=23&RID=YYRUNNRM014"",""XM_036541120.1"")"
"PREDICTED: Megalops cyprinoides cyclic nucleotide-gated cation channel-like (LOC118774438), mRNA",Megalops cyprinoides,1039,1039,74%,0.0,75.64,2016,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_036523783.1?report=genbank&log$=nucltop&blast_rank=24&RID=YYRUNNRM014"",""XM_036523783.1"")"
"PREDICTED: Anguilla anguilla cyclic nucleotide gated channel subunit alpha 3a (cnga3a), transcript variant X2, mRNA",Anguilla anguilla,1033,1033,66%,0.0,76.84,3307,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_035408583.1?report=genbank&log$=nucltop&blast_rank=25&RID=YYRUNNRM014"",""XM_035408583.1"")"
"PREDICTED: Anguilla anguilla cyclic nucleotide gated channel subunit alpha 3a (cnga3a), transcript variant X3, mRNA",Anguilla anguilla,1033,1033,66%,0.0,76.84,3127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_035408584.1?report=genbank&log$=nucltop&blast_rank=26&RID=YYRUNNRM014"",""XM_035408584.1"")"
"PREDICTED: Phycodurus eques cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC133406179), transcript variant X3, mRNA",Phycodurus eques,1033,1033,73%,0.0,75.87,2955,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_061683583.1?report=genbank&log$=nucltop&blast_rank=27&RID=YYRUNNRM014"",""XM_061683583.1"")"
"PREDICTED: Anguilla anguilla cyclic nucleotide gated channel subunit alpha 3a (cnga3a), transcript variant X1, mRNA",Anguilla anguilla,1033,1033,66%,0.0,76.84,3368,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_035408582.1?report=genbank&log$=nucltop&blast_rank=28&RID=YYRUNNRM014"",""XM_035408582.1"")"
"PREDICTED: Phycodurus eques cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC133406179), transcript variant X1, mRNA",Phycodurus eques,1033,1033,73%,0.0,75.87,2920,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_061683581.1?report=genbank&log$=nucltop&blast_rank=29&RID=YYRUNNRM014"",""XM_061683581.1"")"
"PREDICTED: Phycodurus eques cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC133406179), transcript variant X2, mRNA",Phycodurus eques,1033,1033,73%,0.0,75.87,2875,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_061683582.1?report=genbank&log$=nucltop&blast_rank=30&RID=YYRUNNRM014"",""XM_061683582.1"")"
"PREDICTED: Phyllopteryx taeniolatus cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC133481136), transcript variant X3, mRNA",Phyllopteryx taeniolatus,1032,1032,73%,0.0,75.88,2851,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_061780152.1?report=genbank&log$=nucltop&blast_rank=31&RID=YYRUNNRM014"",""XM_061780152.1"")"
"PREDICTED: Phyllopteryx taeniolatus cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC133481136), transcript variant X2, mRNA",Phyllopteryx taeniolatus,1032,1032,73%,0.0,75.88,3004,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_061780151.1?report=genbank&log$=nucltop&blast_rank=32&RID=YYRUNNRM014"",""XM_061780151.1"")"
"PREDICTED: Phyllopteryx taeniolatus cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC133481136), transcript variant X4, mRNA",Phyllopteryx taeniolatus,1032,1032,73%,0.0,75.88,2805,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_061780153.1?report=genbank&log$=nucltop&blast_rank=33&RID=YYRUNNRM014"",""XM_061780153.1"")"
"PREDICTED: Phyllopteryx taeniolatus cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC133481136), transcript variant X1, mRNA",Phyllopteryx taeniolatus,1032,1032,73%,0.0,75.88,3050,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_061780150.1?report=genbank&log$=nucltop&blast_rank=34&RID=YYRUNNRM014"",""XM_061780150.1"")"
"PREDICTED: Ambystoma mexicanum cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X1, mRNA",Ambystoma mexicanum,1029,1128,85%,0.0,75.07,16359,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_069636583.1?report=genbank&log$=nucltop&blast_rank=35&RID=YYRUNNRM014"",""XM_069636583.1"")"
"PREDICTED: Hippocampus comes cyclic nucleotide gated channel subunit alpha 3 (LOC109532331), transcript variant X1, mRNA",Hippocampus comes,1027,1027,74%,0.0,75.42,3141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_019897178.1?report=genbank&log$=nucltop&blast_rank=36&RID=YYRUNNRM014"",""XM_019897178.1"")"
"PREDICTED: Hippocampus comes cyclic nucleotide gated channel subunit alpha 3 (LOC109532331), transcript variant X2, mRNA",Hippocampus comes,1027,1027,74%,0.0,75.42,3096,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_019897179.1?report=genbank&log$=nucltop&blast_rank=37&RID=YYRUNNRM014"",""XM_019897179.1"")"
"PREDICTED: Hippocampus comes cyclic nucleotide gated channel subunit alpha 3 (LOC109532331), transcript variant X3, mRNA",Hippocampus comes,1027,1027,74%,0.0,75.42,2525,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_019897180.1?report=genbank&log$=nucltop&blast_rank=38&RID=YYRUNNRM014"",""XM_019897180.1"")"
"PREDICTED: Hippocampus comes cyclic nucleotide gated channel subunit alpha 3 (LOC109532331), transcript variant X4, mRNA",Hippocampus comes,1026,1026,73%,0.0,75.64,2699,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_019897181.1?report=genbank&log$=nucltop&blast_rank=39&RID=YYRUNNRM014"",""XM_019897181.1"")"
"PREDICTED: Ambystoma mexicanum cyclic nucleotide gated channel subunit alpha 3 (CNGA3), transcript variant X2, mRNA",Ambystoma mexicanum,1024,1124,85%,0.0,75.00,16197,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_069636584.1?report=genbank&log$=nucltop&blast_rank=40&RID=YYRUNNRM014"",""XM_069636584.1"")"
"PREDICTED: Osmerus mordax cyclic nucleotide gated channel subunit alpha 3a (cnga3a), mRNA",Osmerus mordax,1023,1023,71%,0.0,75.94,2154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_067229831.1?report=genbank&log$=nucltop&blast_rank=41&RID=YYRUNNRM014"",""XM_067229831.1"")"
"PREDICTED: Lepisosteus oculatus cyclic nucleotide gated channel subunit alpha 2a (cnga2a), transcript variant X1, mRNA",Lepisosteus oculatus,1017,1017,72%,0.0,75.38,8600,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_069193644.1?report=genbank&log$=nucltop&blast_rank=42&RID=YYRUNNRM014"",""XM_069193644.1"")"
"PREDICTED: Lepisosteus oculatus cyclic nucleotide gated channel subunit alpha 2a (cnga2a), transcript variant X2, mRNA",Lepisosteus oculatus,1017,1017,72%,0.0,75.38,4190,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006632955.3?report=genbank&log$=nucltop&blast_rank=43&RID=YYRUNNRM014"",""XM_006632955.3"")"
"PREDICTED: Anguilla anguilla cyclic nucleotide-gated cation channel-like (LOC118223881), transcript variant X1, mRNA",Anguilla anguilla,1016,1016,72%,0.0,75.60,4541,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_035410902.1?report=genbank&log$=nucltop&blast_rank=44&RID=YYRUNNRM014"",""XM_035410902.1"")"
"PREDICTED: Dunckerocampus dactyliophorus cyclic nucleotide gated channel subunit alpha 3a (cnga3a), transcript variant X1, mRNA",Dunckerocampus dactyliophorus,1016,1016,73%,0.0,75.21,3814,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054790727.1?report=genbank&log$=nucltop&blast_rank=45&RID=YYRUNNRM014"",""XM_054790727.1"")"
"PREDICTED: Dunckerocampus dactyliophorus cyclic nucleotide gated channel subunit alpha 3a (cnga3a), transcript variant X2, mRNA",Dunckerocampus dactyliophorus,1016,1016,73%,0.0,75.21,3781,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054790728.1?report=genbank&log$=nucltop&blast_rank=46&RID=YYRUNNRM014"",""XM_054790728.1"")"
"PREDICTED: Anguilla anguilla cyclic nucleotide-gated cation channel-like (LOC118223881), transcript variant X2, mRNA",Anguilla anguilla,1016,1016,72%,0.0,75.60,5234,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_035410903.1?report=genbank&log$=nucltop&blast_rank=47&RID=YYRUNNRM014"",""XM_035410903.1"")"
"PREDICTED: Conger conger cyclic nucleotide gated channel subunit alpha 3a (cnga3a), mRNA",Conger conger,1014,1014,65%,0.0,76.92,2208,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_061234854.1?report=genbank&log$=nucltop&blast_rank=48&RID=YYRUNNRM014"",""XM_061234854.1"")"
"PREDICTED: Amia ocellicauda cyclic nucleotide gated channel subunit alpha 3a (cnga3a), mRNA",Amia ocellicauda,1012,1012,73%,0.0,74.92,4636,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_066706105.1?report=genbank&log$=nucltop&blast_rank=49&RID=YYRUNNRM014"",""XM_066706105.1"")"
"PREDICTED: Festucalex cinctus cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC144027021), transcript variant X1, mRNA",Festucalex cinctus,1010,1010,74%,0.0,75.13,3448,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_077534280.1?report=genbank&log$=nucltop&blast_rank=50&RID=YYRUNNRM014"",""XM_077534280.1"")"
"PREDICTED: Festucalex cinctus cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC144027021), transcript variant X2, mRNA",Festucalex cinctus,1010,1010,74%,0.0,75.13,3403,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_077534281.1?report=genbank&log$=nucltop&blast_rank=51&RID=YYRUNNRM014"",""XM_077534281.1"")"
"PREDICTED: Festucalex cinctus cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC144027021), transcript variant X3, mRNA",Festucalex cinctus,1010,1010,74%,0.0,75.13,3199,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_077534283.1?report=genbank&log$=nucltop&blast_rank=52&RID=YYRUNNRM014"",""XM_077534283.1"")"
"PREDICTED: Megalops cyprinoides cyclic nucleotide-gated cation channel-like (LOC118791494), mRNA",Megalops cyprinoides,1009,1009,71%,0.0,75.63,2101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_036548869.1?report=genbank&log$=nucltop&blast_rank=53&RID=YYRUNNRM014"",""XM_036548869.1"")"
"PREDICTED: Scleropages formosus cyclic nucleotide gated channel subunit alpha 3a (cnga3a), mRNA",Scleropages formosus,1007,1076,66%,0.0,78.92,3293,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_029248352.1?report=genbank&log$=nucltop&blast_rank=54&RID=YYRUNNRM014"",""XM_029248352.1"")"
"PREDICTED: Anguilla rostrata cyclic nucleotide-gated cation channel-like (LOC135251162), mRNA",Anguilla rostrata,1006,1006,72%,0.0,75.28,3710,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_064328316.1?report=genbank&log$=nucltop&blast_rank=55&RID=YYRUNNRM014"",""XM_064328316.1"")"
"PREDICTED: Syngnathus scovelli cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC125970547), transcript variant X3, mRNA",Syngnathus scovelli,1004,1004,74%,0.0,74.97,2417,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_049722935.2?report=genbank&log$=nucltop&blast_rank=56&RID=YYRUNNRM014"",""XM_049722935.2"")"
"PREDICTED: Syngnathus scovelli cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC125970547), transcript variant X4, mRNA",Syngnathus scovelli,1004,1004,74%,0.0,74.97,2372,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_049722944.2?report=genbank&log$=nucltop&blast_rank=57&RID=YYRUNNRM014"",""XM_049722944.2"")"
"PREDICTED: Syngnathus typhle cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC133166842), transcript variant X2, mRNA",Syngnathus typhle,1003,1003,74%,0.0,75.05,1956,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_061297164.1?report=genbank&log$=nucltop&blast_rank=58&RID=YYRUNNRM014"",""XM_061297164.1"")"
"PREDICTED: Lepisosteus oculatus cyclic nucleotide gated channel subunit alpha 3a (cnga3a), transcript variant X2, mRNA",Lepisosteus oculatus,1003,1003,91%,0.0,71.82,3564,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_015364036.2?report=genbank&log$=nucltop&blast_rank=59&RID=YYRUNNRM014"",""XM_015364036.2"")"
"PREDICTED: Syngnathus scovelli cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC125970547), transcript variant X1, mRNA",Syngnathus scovelli,1003,1003,73%,0.0,75.11,2638,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_049722925.2?report=genbank&log$=nucltop&blast_rank=60&RID=YYRUNNRM014"",""XM_049722925.2"")"
"PREDICTED: Syngnathus scovelli cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC125970547), transcript variant X2, mRNA",Syngnathus scovelli,1003,1003,73%,0.0,75.11,2593,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_049722926.2?report=genbank&log$=nucltop&blast_rank=61&RID=YYRUNNRM014"",""XM_049722926.2"")"
"PREDICTED: Syngnathus typhle cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC133166842), transcript variant X1, mRNA",Syngnathus typhle,1002,1002,73%,0.0,75.19,2024,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_061297163.1?report=genbank&log$=nucltop&blast_rank=62&RID=YYRUNNRM014"",""XM_061297163.1"")"
"PREDICTED: Nerophis ophidion cyclic nucleotide gated channel subunit alpha 3a (cnga3a), mRNA",Nerophis ophidion,998,998,64%,0.0,76.80,2636,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_061888513.1?report=genbank&log$=nucltop&blast_rank=63&RID=YYRUNNRM014"",""XM_061888513.1"")"
"PREDICTED: Gadus morhua cyclic nucleotide gated channel subunit alpha 3a (cnga3a), mRNA",Gadus morhua,995,995,71%,0.0,74.98,3170,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_030372034.1?report=genbank&log$=nucltop&blast_rank=64&RID=YYRUNNRM014"",""XM_030372034.1"")"
"PREDICTED: Syngnathus acus cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC119121841), transcript variant X3, mRNA",Syngnathus acus,994,994,74%,0.0,74.92,2314,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_037249817.1?report=genbank&log$=nucltop&blast_rank=65&RID=YYRUNNRM014"",""XM_037249817.1"")"
"PREDICTED: Syngnathus acus cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC119121841), transcript variant X4, mRNA",Syngnathus acus,994,994,74%,0.0,74.92,2269,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_037249818.1?report=genbank&log$=nucltop&blast_rank=66&RID=YYRUNNRM014"",""XM_037249818.1"")"
"PREDICTED: Syngnathus acus cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC119121841), transcript variant X1, mRNA",Syngnathus acus,993,993,73%,0.0,75.06,2536,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_037249815.1?report=genbank&log$=nucltop&blast_rank=67&RID=YYRUNNRM014"",""XM_037249815.1"")"
"PREDICTED: Syngnathus acus cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC119121841), transcript variant X2, mRNA",Syngnathus acus,993,993,73%,0.0,75.06,2491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_037249816.1?report=genbank&log$=nucltop&blast_rank=68&RID=YYRUNNRM014"",""XM_037249816.1"")"
"PREDICTED: Lepisosteus oculatus cyclic nucleotide gated channel subunit alpha 3a (cnga3a), transcript variant X1, mRNA",Lepisosteus oculatus,991,1131,91%,0.0,74.44,3728,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006639235.3?report=genbank&log$=nucltop&blast_rank=69&RID=YYRUNNRM014"",""XM_006639235.3"")"
"PREDICTED: Gadus chalcogrammus cyclic nucleotide gated channel subunit alpha 3a (cnga3a), mRNA",Gadus chalcogrammus,991,1044,79%,0.0,74.92,2937,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_056603811.1?report=genbank&log$=nucltop&blast_rank=70&RID=YYRUNNRM014"",""XM_056603811.1"")"
"PREDICTED: Vanacampus margaritifer cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC144062747), transcript variant X1, mRNA",Vanacampus margaritifer,982,982,74%,0.0,74.82,2876,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_077584425.1?report=genbank&log$=nucltop&blast_rank=71&RID=YYRUNNRM014"",""XM_077584425.1"")"
"PREDICTED: Vanacampus margaritifer cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC144062747), transcript variant X2, mRNA",Vanacampus margaritifer,982,982,74%,0.0,74.82,2831,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_077584426.1?report=genbank&log$=nucltop&blast_rank=72&RID=YYRUNNRM014"",""XM_077584426.1"")"
"PREDICTED: Hippocampus zosterae cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC127605486), transcript variant X1, mRNA",Hippocampus zosterae,981,981,72%,0.0,75.03,3023,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_052073031.1?report=genbank&log$=nucltop&blast_rank=73&RID=YYRUNNRM014"",""XM_052073031.1"")"
"PREDICTED: Hippocampus zosterae cyclic nucleotide-gated channel cone photoreceptor subunit alpha-like (LOC127605486), transcript variant X5, mRNA",Hippocampus zosterae,981,981,72%,0.0,75.03,2811,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_052073035.1?report=genbank&log$=nucltop&blast_rank=74&RID=YYRUNNRM014"",""XM_052073035.1"")"
